ID_DIARIO,BUS_FK,PERIODO,DIAS_MES_aux,DIAS_LABORADOS,TIEMPO_DISPONIBLE,DIAS_PEND_aux,Prom_Vueltas_x_Dia_aux,VUELTAS_EFECTUADAS,VUELTAS_PENDIENTES,KM_EFECTUADOS,KM_PENDIENTES,T_x_Vuelta_prom_aux,TIEMPO_OPERATIVO,T_prom_Descanso_Vuelta_aux,  PARADAS_ADMINSITRATIVAS  ,SALDO_TIEMPO_aux,Nro_Averias,Hrs_Averiado,Peso_Prev_aux,Hrs_Prev,  PARADAS PLANIFICADAS  ,  xTC  ,xDisponibilidad
354,21,01/02/2023,28,28,672,,,,," 5,019.60 ", 244.40 ,,267, 56.07 , 127.07 ,,4.00,30.50,, 71.00 ,, 297.50 , 0.8975 
127,22,01/07/2022,31,31,744,,,,," 4,512.00 "," 1,316.00 ",,240, 50.40 , 127.40 ,,10.00,85.50,, 77.00 ,, 325.50 , 0.7373 
128,22,01/08/2022,31,31,744,,,,," 4,267.60 "," 1,560.40 ",,227, 47.67 , 124.67 ,,11.00,83.50,, 77.00 ,, 310.50 , 0.7311 
129,22,01/09/2022,30,30,720,,,,," 4,474.40 "," 1,165.60 ",,238, 49.98 , 124.98 ,,11.00,73.00,, 75.00 ,, 311.00 , 0.7653 
130,22,01/10/2022,31,31,744,,,,," 4,568.40 "," 1,259.60 ",,243, 51.03 , 128.03 ,,7.00,71.50,, 77.00 ,, 314.50 , 0.7727 
131,22,01/11/2022,30,30,720,,,,," 4,587.20 "," 1,052.80 ",,244, 51.24 , 126.24 ,,7.00,59.50,, 75.00 ,, 303.50 , 0.8040 
132,22,01/12/2022,31,31,744,,,,," 4,624.80 "," 1,203.20 ",,246, 51.66 , 128.66 ,,6.00,58.50,, 77.00 ,, 304.50 , 0.8079 
315,22,01/01/2023,31,31,744,,,,," 4,869.20 ", 958.80 ,,259, 54.39 , 131.39 ,,5.00,51.00,, 77.00 ,, 310.00 , 0.8355 
355,22,01/02/2023,28,28,672,,,,," 4,944.40 ", 319.60 ,,263, 55.23 , 126.23 ,,5.00,42.50,, 71.00 ,, 305.50 , 0.8609 
133,23,01/07/2022,31,31,744,,,,," 5,264.00 ", 564.00 ,,280, 58.80 , 135.80 ,,9.00,55.50,, 77.00 ,, 335.50 , 0.8346 
134,23,01/08/2022,31,31,744,,,,," 5,038.40 ", 789.60 ,,268, 56.28 , 133.28 ,,10.00,64.50,, 77.00 ,, 332.50 , 0.8060 
135,23,01/09/2022,30,30,720,,,,," 4,662.40 ", 977.60 ,,248, 52.08 , 127.08 ,,12.00,80.50,, 75.00 ,, 328.50 , 0.7549 
136,23,01/10/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 , 133.07 ,,11.00,68.50,, 77.00 ,, 335.50 , 0.7958 
137,23,01/11/2022,30,30,720,,,,," 4,963.20 ", 676.80 ,,264, 55.44 , 130.44 ,,9.00,54.50,, 75.00 ,, 318.50 , 0.8289 
138,23,01/12/2022,31,31,744,,,,," 5,339.20 ", 488.80 ,,284, 59.64 , 136.64 ,,8.00,38.50,, 77.00 ,, 322.50 , 0.8806 
316,23,01/01/2023,31,31,744,,,,," 5,583.60 ", 244.40 ,,297, 62.37 , 139.37 ,,5.00,30.50,, 77.00 ,, 327.50 , 0.9069 
356,23,01/02/2023,28,28,672,,,,," 4,963.20 ", 300.80 ,,264, 55.44 , 126.44 ,,6.00,22.00,, 71.00 ,, 286.00 , 0.9231 
139,24,01/07/2022,31,31,744,,,,," 5,132.40 ", 695.60 ,,273, 57.33 , 134.33 ,,15.00,51.50,, 77.00 ,, 324.50 , 0.8413 
140,24,01/08/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 , 133.49 ,,10.00,41.00,, 77.00 ,, 310.00 , 0.8677 
141,24,01/09/2022,30,30,720,,,,," 5,160.60 ", 479.40 ,,274.5, 57.65 , 132.65 ,,11.00,51.00,, 75.00 ,, 325.50 , 0.8433 
142,24,01/10/2022,31,31,744,,,,," 5,188.80 ", 639.20 ,,276, 57.96 , 134.96 ,,9.00,54.00,, 77.00 ,, 330.00 , 0.8364 
143,24,01/11/2022,30,30,720,,,,," 5,057.20 ", 582.80 ,,269, 56.49 , 131.49 ,,8.00,50.50,, 75.00 ,, 319.50 , 0.8419 
144,24,01/12/2022,31,31,744,,,,," 5,170.00 ", 658.00 ,,275, 57.75 , 134.75 ,,6.00,44.50,, 77.00 ,, 319.50 , 0.8607 
317,24,01/01/2023,31,31,744,,,,," 5,217.00 ", 611.00 ,,277.5, 58.28 , 135.28 ,,6.00,40.50,, 77.00 ,, 318.00 , 0.8726 
357,24,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 , 127.28 ,,4.00,20.50,, 71.00 ,, 288.50 , 0.9289 
145,25,01/07/2022,31,31,744,0,2.78,86.18,37.82," 4,050.46 "," 1,777.54 ",2.5,215.45, 45.24 ,3899.17101,-3370.62101,10.00,69.50,1.59%, 77.00 ,"-3,517.12 ", 284.95 , 0.7561 
146,25,01/08/2022,31,31,744,0,3.02,93.62,30.38," 4,523.34 "," 1,304.66 ",2.57,240.6034, 50.53 ,4730.310965,-4226.914365,7.00,58.50,1.00%, 77.00 ,"-4,362.41 ", 299.10 , 0.8044 
147,25,01/09/2022,30,30,720,0,3.15,94.5,25.5," 4,441.50 "," 1,198.50 ",2.5,236.25, 49.61 ,4688.38125,-4204.63125,10.00,60.50,1.00%, 75.00 ,"-4,340.13 ", 296.75 , 0.7961 
148,25,01/10/2022,31,31,744,0,2.89,89.59,34.41," 4,345.47 "," 1,482.53 ",2.58,231.1422, 48.54 ,4348.686237,-3835.828437,8.00,49.50,1.59%, 77.00 ,"-3,962.33 ", 280.64 , 0.8236 
149,25,01/11/2022,30,30,720,0,2.96,88.8,31.2," 4,156.91 "," 1,483.09 ",2.49,221.112, 46.43 ,4123.296576,-3624.408576,7.00,41.50,4.50%, 75.00 ,"-3,740.91 ", 262.61 , 0.8420 
150,25,01/12/2022,31,31,744,0,2.28,70.68,53.32," 3,361.82 "," 2,466.18 ",2.53,178.8204, 37.55 ,2654.195433,-2089.015833,4.00,31.50,5.00%, 77.00 ,"-2,197.52 ", 210.32 , 0.8502 
318,25,01/01/2023,31,31,744,0,2.7,83.7,40.3," 3,902.43 "," 1,925.57 ",2.48,207.576, 43.59 ,3648.563352,-3112.139352,7.00,26.00,5.00%, 77.00 ,"-3,215.14 ", 233.58 , 0.8887 
358,25,01/02/2023,28,28,672,0,3.85,107.8,4.2," 5,208.46 ", 55.54 ,2.57,277.046, 58.18 ,6271.767348,-5876.813348,5.00,23.50,5.00%, 71.00 ,"-5,971.31 ", 300.55 , 0.9218 
151,26,01/07/2022,31,31,744,,,,," 4,888.00 ", 940.00 ,,260, 54.60 ,,,11.00,67.00,, 77.00 ,, 327.00 , 0.7951 
152,26,01/08/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,10.00,62.50,, 77.00 ,, 329.50 , 0.8103 
153,26,01/09/2022,30,30,720,,,,," 4,925.60 ", 714.40 ,,262, 55.02 ,,,7.00,52.50,, 75.00 ,, 314.50 , 0.8331 
154,26,01/10/2022,31,31,744,,,,," 5,000.80 ", 827.20 ,,266, 55.86 ,,,11.00,69.50,, 77.00 ,, 335.50 , 0.7928 
155,26,01/11/2022,30,30,720,,,,," 4,906.80 ", 733.20 ,,261, 54.81 ,,,10.00,56.50,, 75.00 ,, 317.50 , 0.8220 
156,26,01/12/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,11.00,63.50,, 77.00 ,, 332.50 , 0.8090 
319,26,01/01/2023,31,31,744,,,,," 5,414.40 ", 413.60 ,,288, 60.48 ,,,7.00,40.50,, 77.00 ,, 328.50 , 0.8767 
359,26,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,5.00,27.50,, 71.00 ,, 295.50 , 0.9069 
157,27,01/07/2022,31,31,744,,,,," 5,076.00 ", 752.00 ,,270, 56.70 ,,,4.00,50.00,, 77.00 ,, 320.00 , 0.8438 
158,27,01/08/2022,31,31,744,,,,," 5,170.00 ", 658.00 ,,275, 57.75 ,,,4.00,37.50,, 77.00 ,, 312.50 , 0.8800 
159,27,01/09/2022,30,30,720,,,,," 4,831.60 ", 808.40 ,,257, 53.97 ,,,7.00,54.50,, 75.00 ,, 311.50 , 0.8250 
160,27,01/10/2022,31,31,744,,,,," 5,113.60 ", 714.40 ,,272, 57.12 ,,,8.00,47.50,, 77.00 ,, 319.50 , 0.8513 
161,27,01/11/2022,30,30,720,,,,," 5,019.60 ", 620.40 ,,267, 56.07 ,,,6.00,44.50,, 75.00 ,, 311.50 , 0.8571 
162,27,01/12/2022,31,31,744,,,,," 4,963.20 ", 864.80 ,,264, 55.44 ,,,8.00,48.50,, 77.00 ,, 312.50 , 0.8448 
320,27,01/01/2023,31,31,744,,,,," 5,151.20 ", 676.80 ,,274, 57.54 ,,,5.00,37.50,, 77.00 ,, 311.50 , 0.8796 
360,27,01/02/2023,28,28,672,,,,," 4,869.20 ", 394.80 ,,259, 54.39 ,,,5.00,26.50,, 71.00 ,, 285.50 , 0.9072 
163,28,01/07/2022,31,31,744,,,,," 5,320.40 ", 507.60 ,,283, 59.43 ,,,4.00,55.00,, 77.00 ,, 338.00 , 0.8373 
164,28,01/08/2022,31,31,744,,,,," 5,226.40 ", 601.60 ,,278, 58.38 ,,,7.00,47.50,, 77.00 ,, 325.50 , 0.8541 
165,28,01/09/2022,30,30,720,,,,," 5,245.20 ", 394.80 ,,279, 58.59 ,,,8.00,47.50,, 75.00 ,, 326.50 , 0.8545 
166,28,01/10/2022,31,31,744,,,,," 5,339.20 ", 488.80 ,,284, 59.64 ,,,5.00,28.50,, 77.00 ,, 312.50 , 0.9088 
167,28,01/11/2022,30,30,720,,,,," 5,264.00 ", 376.00 ,,280, 58.80 ,,,4.00,33.50,, 75.00 ,, 313.50 , 0.8931 
168,28,01/12/2022,31,31,744,,,,," 5,376.80 ", 451.20 ,,286, 60.06 ,,,9.00,39.50,, 77.00 ,, 325.50 , 0.8786 
321,28,01/01/2023,31,31,744,,,,," 5,527.20 ", 300.80 ,,294, 61.74 ,,,5.00,20.50,, 77.00 ,, 314.50 , 0.9348 
361,28,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,5.00,16.00,, 71.00 ,, 284.00 , 0.9437 
169,29,01/07/2022,31,31,744,,,,," 5,132.40 ", 695.60 ,,273, 57.33 ,,,12.00,44.00,, 77.00 ,, 317.00 , 0.8612 
170,29,01/08/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,13.00,53.00,, 77.00 ,, 322.00 , 0.8354 
171,29,01/09/2022,30,30,720,,,,," 5,160.60 ", 479.40 ,,274.5, 57.65 ,,,11.00,51.00,, 75.00 ,, 325.50 , 0.8433 
172,29,01/10/2022,31,31,744,,,,," 5,188.80 ", 639.20 ,,276, 57.96 ,,,9.00,54.00,, 77.00 ,, 330.00 , 0.8364 
173,29,01/11/2022,30,30,720,,,,," 5,057.20 ", 582.80 ,,269, 56.49 ,,,8.00,50.50,, 75.00 ,, 319.50 , 0.8419 
174,29,01/12/2022,31,31,744,,,,," 5,170.00 ", 658.00 ,,275, 57.75 ,,,5.00,27.50,, 77.00 ,, 302.50 , 0.9091 
322,29,01/01/2023,31,31,744,,,,," 5,217.00 ", 611.00 ,,277.5, 58.28 ,,,6.00,40.50,, 77.00 ,, 318.00 , 0.8726 
362,29,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,5.00,29.50,, 71.00 ,, 297.50 , 0.9008 
175,30,01/07/2022,31,31,744,,,,," 4,888.00 ", 940.00 ,,260, 54.60 ,,,11.00,67.00,, 77.00 ,, 327.00 , 0.7951 
176,30,01/08/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,10.00,62.50,, 77.00 ,, 329.50 , 0.8103 
177,30,01/09/2022,30,30,720,,,,," 4,925.60 ", 714.40 ,,262, 55.02 ,,,7.00,52.50,, 75.00 ,, 314.50 , 0.8331 
178,30,01/10/2022,31,31,744,,,,," 5,000.80 ", 827.20 ,,266, 55.86 ,,,11.00,69.50,, 77.00 ,, 335.50 , 0.7928 
179,30,01/11/2022,30,30,720,,,,," 4,906.80 ", 733.20 ,,261, 54.81 ,,,10.00,56.50,, 75.00 ,, 317.50 , 0.8220 
180,30,01/12/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,11.00,63.50,, 77.00 ,, 332.50 , 0.8090 
323,30,01/01/2023,31,31,744,,,,," 5,414.40 ", 413.60 ,,288, 60.48 ,,,5.00,25.50,, 77.00 ,, 313.50 , 0.9187 
