ID_DIARIO;BUS_FK;PK_BUS_PERIODO_toMP;PERIODO;DIAS_MES_aux;DIAS_LABORADOS;TIEMPO_DISPONIBLE;KM_EFECTUADOS;KM_PENDIENTES;TIEMPO_OPERATIVO;T_prom_Descanso_Vuelta_aux; PARADAS_ADMINSITRATIVAS ;Nro_Averias;Hrs_Averiado;Hrs_Prev; PARADAS PLANIFICADAS ; xTC ;xDisponibilidad
245;41;4144866;1/11/2022;30;30;720; 5,452.00 ; 188.00 ;290; 60.90 ;;9.00;16.50; 75.00 ;; 306.50 ; 0.9462 
246;41;4144896;1/12/2022;31;31;744; 5,546.00 ; 282.00 ;295; 61.95 ;;6.00;18.00; 77.00 ;; 313.00 ; 0.9425 
334;41;4144927;1/01/2023;31;31;744; 5,621.20 ; 206.80 ;299; 62.79 ;;5.00;18.00; 77.00 ;; 317.00 ; 0.9432 
374;41;4144958;1/02/2023;28;28;672; 5,188.80 ; 75.20 ;276; 57.96 ;;5.00;19.10; 71.00 ;; 295.10 ; 0.9353 
253;43;4344743;1/07/2022;31;31;744; 5,320.40 ; 507.60 ;283; 59.43 ;;4.00;55.00; 77.00 ;; 338.00 ; 0.8373 
254;43;4344774;1/08/2022;31;31;744; 5,226.40 ; 601.60 ;278; 58.38 ;;6.00;47.00; 77.00 ;; 325.00 ; 0.8554 
255;43;4344805;1/09/2022;30;30;720; 5,245.20 ; 394.80 ;279; 58.59 ;;7.00;47.00; 75.00 ;; 326.00 ; 0.8558 
256;43;4344835;1/10/2022;31;31;744; 5,339.20 ; 488.80 ;284; 59.64 ;;4.00;28.00; 77.00 ;; 312.00 ; 0.9103 
257;43;4344866;1/11/2022;30;30;720; 5,264.00 ; 376.00 ;280; 58.80 ;;3.00;33.00; 75.00 ;; 313.00 ; 0.8946 
258;43;4344896;1/12/2022;31;31;744; 5,376.80 ; 451.20 ;286; 60.06 ;;9.00;39.50; 77.00 ;; 325.50 ; 0.8786 
335;43;4344927;1/01/2023;31;31;744; 5,527.20 ; 300.80 ;294; 61.74 ;;5.00;20.50; 77.00 ;; 314.50 ; 0.9348 
375;43;4344958;1/02/2023;28;28;672; 5,038.40 ; 225.60 ;268; 56.28 ;;5.00;16.00; 71.00 ;; 284.00 ; 0.9437 
259;44;4444743;1/07/2022;31;31;744; 4,963.20 ; 864.80 ;264; 55.44 ;;10.00;45.00; 77.00 ;; 309.00 ; 0.8544 
260;44;4444774;1/08/2022;31;31;744; 4,831.60 ; 996.40 ;257; 53.97 ;;8.00;24.00; 77.00 ;; 281.00 ; 0.9146 
261;44;4444805;1/09/2022;30;30;720; 4,944.40 ; 695.60 ;263; 55.23 ;;7.00;35.00; 75.00 ;; 298.00 ; 0.8826 
262;44;4444835;1/10/2022;31;31;744; 5,019.60 ; 808.40 ;267; 56.07 ;;7.00;41.00; 77.00 ;; 308.00 ; 0.8669 
263;44;4444866;1/11/2022;30;30;720; 5,000.80 ; 639.20 ;266; 55.86 ;;8.00;48.00; 75.00 ;; 314.00 ; 0.8471 
264;44;4444896;1/12/2022;31;31;744; 5,057.20 ; 770.80 ;269; 56.49 ;;12.00;44.50; 77.00 ;; 313.50 ; 0.8581 
336;44;4444927;1/01/2023;31;31;744; 5,395.60 ; 432.40 ;287; 60.27 ;;5.00;31.00; 77.00 ;; 318.00 ; 0.9025 
376;44;4444958;1/02/2023;28;28;672; 5,076.00 ; 188.00 ;270; 56.70 ;;5.00;22.00; 71.00 ;; 292.00 ; 0.9247 
271;46;4644743;1/07/2022;31;31;744; 5,470.80 ; 357.20 ;291; 61.11 ;;10.00;26.50; 77.00 ;; 317.50 ; 0.9165 
272;46;4644774;1/08/2022;31;31;744; 5,414.40 ; 413.60 ;288; 60.48 ;;2.00;12.40; 77.00 ;; 300.40 ; 0.9587 
273;46;4644805;1/09/2022;30;30;720; 5,358.00 ; 282.00 ;285; 59.85 ;;4.00;21.00; 75.00 ;; 306.00 ; 0.9314 
274;46;4644835;1/10/2022;31;31;744; 5,508.40 ; 319.60 ;293; 61.53 ;;7.00;17.50; 77.00 ;; 310.50 ; 0.9436 
275;46;4644866;1/11/2022;30;30;720; 5,452.00 ; 188.00 ;290; 60.90 ;;8.00;16.00; 75.00 ;; 306.00 ; 0.9477 
